"tweet_id","in_reply_to_status_id","in_reply_to_user_id","timestamp","source","text","retweeted_status_id","retweeted_status_user_id","retweeted_status_timestamp","expanded_urls"
"849771959273443328","","","2017-04-05 23:53:17 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","We now always fix Dropbox and Google Docs links when you add/edit them in Settings, not just when first creating the goal.","","","",""
"849771908128161793","","","2017-04-05 23:53:05 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","We made a proper landing page for URLminder: https://t.co/inzZoBJwLW","","","","http://beeminder.com/urlminder"
"849409757672812544","","","2017-04-04 23:54:02 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","We changed the smoothing constant for the purple line for weight loss and other noisy data goals from .1 to .25. https://t.co/jiihH9EkQc","","","","http://forum.beeminder.com/t/any-way-to-control-exponential-moving-average-history/2938/7?u=dreev"
"849045469703528449","","","2017-04-03 23:46:29 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","We upgraded our db &amp; got graph regen times back down to ~5s. Phew! Now we may have to work on mass-editing of goals https://t.co/UxuUPun2yo","","","","http://forum.beeminder.com/t/februarys-annoyingness-straw-poll/2995"
"847940755867934720","","","2017-03-31 22:36:44 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","#bugfix for the +/- stepper buttons for Garmin &amp; Epson goal creation: hitting the ""-"" button would increase the value. Negation is tricky!","","","",""
"847940708417720320","","","2017-03-31 22:36:33 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Another #bugfix with Fitbit number-of-activities goals: we used the wrong endpoint and only got ones added via the website, not devices","","","",""
"847589722658529281","","","2017-03-30 23:21:51 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","URLminder now magically fixes Dropbox links so you can beemind wordcount for any plaintext document you have sync'd with Dropbox","","","",""
"847125582265532416","","","2017-03-29 16:37:32 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Fixed a bug with creating new Fitbit number-of-activities goal. The initial import of last week of data could insta-derail you. #bugfix","","","",""
"847125467559739392","","","2017-03-29 16:37:04 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Fixed a big with strange font sizes of goalnames on the dashboard. #bugfix https://t.co/vSDFA5rueq","","","","http://forum.beeminder.com/t/strange-font-sizes-on-dashboard/3043"
"846497098082103296","","","2017-03-27 23:00:09 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Also URLminder now supports arbitrary deadlines!","","","",""
"846428625796710400","","","2017-03-27 18:28:04 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","You can now see and update the list of URLminder URLs in your goal settings. Makes URLminder much more useful! https://t.co/1ruqwmNwAC","","","","https://www.beeminder.com/nanowrimo"
"845413824857485312","","","2017-03-24 23:15:37 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Email replies when you add data via the bot now never totally fail to send if we can't fetch one of the random tips of the day. #bugfix","","","",""
"845413740929400832","","","2017-03-24 23:15:17 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Fixed the hovertext for datapoints to always show the relevant metadata and not redundantly repeat the comment as hovertext. #mini","","","",""
"844698187176693760","","","2017-03-22 23:51:56 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","We now support Swahili in @duolingo! And a #mini UVI: Tooltips in the header of the big table for setting reminders for all goals at once.","","","",""
"844337564970467328","","","2017-03-21 23:58:57 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Fixed a bug in the dashboard where quickly tripleclicking the goal would show the add data form below the collapsed goal. #bugfix","","","",""
"843971141798584320","","","2017-03-20 23:42:55 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","We fixed some annoying things with the guest access (for beemium people) to our dev chat: URLs work now, and disconnects handled better","","","",""
"842888435874447360","","","2017-03-18 00:00:37 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","We made updates via the website &amp; Android &amp; iOS all have higher priority which noticeably improved graph regeneration times (tho still bad)","","","",""
"842443924195098624","","","2017-03-16 18:34:18 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","We fixed our SMTP/DNS/whatever settings so outgoing mail doesn't say ""sent via mailgun dot org"" in Gmail. #mini HT our CEO's mother","","","",""
"842168206873657345","","","2017-03-16 00:18:41 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Added link to forum post which explains the aggday custom goal setting. &amp; Fitbit ""number activities"" was buggy for the 1st 11 days. #bugfix","","","",""
"841786998343970816","","","2017-03-14 23:03:54 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","We made our jobs page -- https://t.co/Z54qVa4oZd -- less out of date and embarrassing! And added a little ""need help?"" footer link.","","","","https://www.beeminder.com/jobs"
"841786857054658561","","","2017-03-14 23:03:21 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Fixed a bug where sometimes the tabs below the graph would be completely blank until you reloaded the page. #bugfix","","","",""
"841401764553277440","","","2017-03-13 21:33:07 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","iPhone app couldn't handle safety buffer &gt;32767 days so now we cap it at that. Also fixed a redesign regression as part of prev UVI. #bugfix","","","",""
"841394559523344385","","","2017-03-13 21:04:30 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Feature! We trust our users so much that when you update a failed payment method you can actually pick which charges should be retried!","","","",""
"840363555736043520","","","2017-03-11 00:47:39 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","We again let you jump from $0 to $5 pledged (even without the Beemium plan that lets you jump to any amount). #bugfix #redesign-regression","","","",""
